SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA Lake Houston College Preparatory	16-Apr-24	378	13
IDEA Lake Houston College Preparatory	17-Apr-24	378	8
IDEA Lake Houston College Preparatory	18-Apr-24	378	10
IDEA Lake Houston College Preparatory	19-Apr-24	378	32
IDEA Los Encinos Academy	15-Apr-24	764	48
IDEA Los Encinos Academy	16-Apr-24	764	20
IDEA Los Encinos Academy	17-Apr-24	764	12
IDEA Los Encinos Academy	18-Apr-24	764	28
IDEA Los Encinos Academy	19-Apr-24	763	31
IDEA Los Encinos College Preparatory	15-Apr-24	629	22
IDEA Los Encinos College Preparatory	16-Apr-24	629	6
IDEA Los Encinos College Preparatory	17-Apr-24	629	16
IDEA Los Encinos College Preparatory	18-Apr-24	629	25
IDEA Los Encinos College Preparatory	19-Apr-24	629	33
IDEA Mays Academy	15-Apr-24	687	34
IDEA Mays Academy	16-Apr-24	687	14
IDEA Mays Academy	17-Apr-24	687	23
IDEA Mays Academy	18-Apr-24	687	31
IDEA Mays Academy	19-Apr-24	687	65
IDEA Mays College Preparatory	15-Apr-24	717	46
IDEA Mays College Preparatory	16-Apr-24	717	58
IDEA Mays College Preparatory	17-Apr-24	716	46
IDEA Mays College Preparatory	18-Apr-24	716	53
IDEA Mays College Preparatory	19-Apr-24	716	75
IDEA McAllen Academy	15-Apr-24	756	21
IDEA McAllen Academy	16-Apr-24	756	19
IDEA McAllen Academy	17-Apr-24	756	30
IDEA McAllen Academy	18-Apr-24	756	29
IDEA McAllen Academy	19-Apr-24	756	35
IDEA McAllen College Preparatory	15-Apr-24	796	46
IDEA McAllen College Preparatory	16-Apr-24	795	34
IDEA McAllen College Preparatory	17-Apr-24	795	155
IDEA McAllen College Preparatory	18-Apr-24	795	40
IDEA McAllen College Preparatory	19-Apr-24	795	60
IDEA Mesa Hills Academy	15-Apr-24	710	44
IDEA Mesa Hills Academy	16-Apr-24	710	19
IDEA Mesa Hills Academy	17-Apr-24	710	30
IDEA Mesa Hills Academy	18-Apr-24	710	36
IDEA Mesa Hills Academy	19-Apr-24	710	59
IDEA Mesa Hills College Preparatory	15-Apr-24	427	38
IDEA Mesa Hills College Preparatory	16-Apr-24	427	18
IDEA Mesa Hills College Preparatory	17-Apr-24	427	11
IDEA Mesa Hills College Preparatory	18-Apr-24	427	6
IDEA Mesa Hills College Preparatory	19-Apr-24	427	41
IDEA Mesquite Hills Academy	15-Apr-24	573	32
IDEA Mesquite Hills Academy	16-Apr-24	574	22
IDEA Mesquite Hills Academy	17-Apr-24	574	28
IDEA Mesquite Hills Academy	18-Apr-24	574	27
IDEA Mesquite Hills Academy	19-Apr-24	573	49
IDEA Mesquite Hills College Preparatory	15-Apr-24	286	11
IDEA Mesquite Hills College Preparatory	16-Apr-24	286	3
IDEA Mesquite Hills College Preparatory	17-Apr-24	286	12
IDEA Mesquite Hills College Preparatory	18-Apr-24	286	15
IDEA Mesquite Hills College Preparatory	19-Apr-24	286	16
IDEA Mission Academy	15-Apr-24	670	18
IDEA Mission Academy	16-Apr-24	670	6
IDEA Mission Academy	17-Apr-24	670	13
IDEA Mission Academy	18-Apr-24	670	19
IDEA Mission Academy	19-Apr-24	670	18
IDEA Mission College Preparatory	15-Apr-24	756	56
IDEA Mission College Preparatory	16-Apr-24	756	24
IDEA Mission College Preparatory	17-Apr-24	756	26
IDEA Mission College Preparatory	18-Apr-24	756	50
IDEA Mission College Preparatory	19-Apr-24	756	67
IDEA Monterrey Park Academy	15-Apr-24	586	28
